일자,홈/어웨이,팀명,선발투수,시즌평균자책점,시즌WAR,시즌경기,시즌선발평균이닝,시즌QS,시즌WHIP,홈어웨이평균자책점,홈어웨이경기,홈어웨이선발평균이닝,홈어웨이QS,홈어웨이WHIP,맞대결평균자책점,맞대결경기,맞대결선발평균이닝,맞대결QS,맞대결WHIP
2024-09-24,어웨이,NC,이재학,5.34,0.87,19,5.0,6,1.40,7.42,7,4.1,2,1.42,1.29,1,7.0,1,0.57
2024-09-24,홈,두산,최승용,6.55,-0.12,11,3.1,1,1.77,2.79,4,6.0,1,1.14,4.50,1,4.0,0,1.25
2024-09-24,어웨이,LG,임찬규,3.77,3.34,24,5.2,11,1.40,3.61,10,5.2,4,1.36,1.38,4,6.2,4,0.88
2024-09-24,홈,SSG,앤더슨,3.73,2.89,22,5.0,9,1.28,5.24,13,5.1,7,1.22,3.27,2,5.2,1,1.36
2024-09-24,어웨이,롯데,김진욱,5.49,0.66,18,4.2,3,1.57,7.04,9,4.2,1,1.67,5.06,2,5.1,0,1.41
2024-09-24,홈,KT,엄상백,5.04,2.14,28,5.1,9,1.32,5.48,13,5.1,4,1.37,4.97,4,6.1,2,0.95
2024-09-24,어웨이,삼성,김대호,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024-09-24,홈,KIA,김도현,5.43,0.22,34,4.0,0,1.66,6.08,20,3.2,0,1.83,0.00,2,0.0,0,0.55
2024-09-24,어웨이,한화,이상규,5.76,0.01,18,1.2,0,1.68,6.75,10,1.2,0,1.84,0.00,2,0.0,0,1.50
2024-09-24,홈,키움,헤이수스,3.70,3.70,29,5.2,19,1.25,2.98,18,6.0,13,1.11,3.00,4,6.0,4,1.04
