일자,홈/어웨이,팀명,시즌평균자책점,시즌타율,시즌평균득점,시즌평균실점,홈어웨이평균자책점,홈어웨이시즌타율,홈어웨이평균득점,홈어웨이평균실점,맞대결평균자책점,맞대결타율,맞대결평균득점,맞대결평균실점
2024-09-22,어웨이,두산,4.83,0.276,5.5,5.2,5.41,0.288,5.8,5.5,5.71,0.261,5.0,5.9
2024-09-22,홈,LG,4.65,0.281,5.5,5.1,4.35,0.288,5.7,4.9,4.26,0.289,5.9,5.0
2024-09-22,어웨이,키움,5.07,0.264,4.6,5.4,5.49,0.273,5.3,5.8,4.39,0.243,4.6,4.8
2024-09-22,홈,삼성,4.65,0.271,5.4,4.9,4.72,0.274,5.7,5.1,4.36,0.269,4.8,4.6
2024-09-22,어웨이,SSG,5.29,0.273,5.2,5.7,5.07,0.266,4.8,5.3,5.45,0.285,5.4,6.0
2024-09-22,홈,KT,5.14,0.278,5.3,5.6,5.26,0.283,5.0,5.9,4.81,0.308,6.0,5.4
2024-09-22,어웨이,NC,4.84,0.274,5.5,5.4,5.63,0.267,5.4,5.9,5.44,0.260,4.9,5.9
2024-09-22,홈,KIA,4.41,0.301,6.0,5.3,4.77,0.298,5.8,5.7,4.50,0.285,5.9,4.9
2024-09-22,어웨이,롯데,5.07,0.284,5.6,5.5,5.36,0.262,5.0,5.6,5.98,0.303,6.3,6.5
2024-09-22,홈,한화,5.07,0.271,5.2,5.5,5.15,0.267,5.0,5.6,5.90,0.302,6.5,6.3
